wavelength_nm,R30,R45,R60
4.529072876000000178e+02,3.137891872151696848e-01,3.331367684711137866e-01,1.114913129702925776e+00
4.530216369999999984e+02,3.138731159729937770e-01,3.333319124241199138e-01,1.113810517780459586e+00
4.531360167999999931e+02,3.138477708267301547e-01,3.332367449813072868e-01,1.113330468813265695e+00
4.532503661999999736e+02,3.138845330303386971e-01,3.329434134317592608e-01,1.112186602900089749e+00
4.533647460999999907e+02,3.144291229863239168e-01,3.332561107420822233e-01,1.112706690969020418e+00
4.534791260000000079e+02,3.141443899517073479e-01,3.332187168930322296e-01,1.113815020859169724e+00
4.535935059000000251e+02,3.140348818457350255e-01,3.329786252869120222e-01,1.115358988208013713e+00
4.537078857000000198e+02,3.138950726944107483e-01,3.328248127871269446e-01,1.115839771607012976e+00
4.538222655999999802e+02,3.141175336918450300e-01,3.326878096133235041e-01,1.118667316056213501e+00
4.539366759999999772e+02,3.138000847488260914e-01,3.328254663820000570e-01,1.121681266694185108e+00
4.540510558999999944e+02,3.137265378177801489e-01,3.333955422650525802e-01,1.123203645476840595e+00
4.541654662999999914e+02,3.138009371467344599e-01,3.336518569319834038e-01,1.122698733898221057e+00
4.542798766999999884e+02,3.137972073541043239e-01,3.335358302132399033e-01,1.122243523000362231e+00
4.543942870999999855e+02,3.138355620858728767e-01,3.332514133327135197e-01,1.122313472668014400e+00
4.545086974999999825e+02,3.138824048260443478e-01,3.334552163701566818e-01,1.122967892002528778e+00
4.546231078999999795e+02,3.139043894797688972e-01,3.333200892219700395e-01,1.122769261538852259e+00
4.547375488000000132e+02,3.141605654047491258e-01,3.335505898914569722e-01,1.122773502345314034e+00
4.548519592000000102e+02,3.138805994556371770e-01,3.334383980985579643e-01,1.123025354767306583e+00
4.549664000999999871e+02,3.141961385243574045e-01,3.335944513070687178e-01,1.123455337322872394e+00
4.550808410999999865e+02,3.141281429622638233e-01,3.338014679714669253e-01,1.123435874105912502e+00
4.551952820000000202e+02,3.140549297551515906e-01,3.336120106861309997e-01,1.123270841673276399e+00
4.553097228999999970e+02,3.141952594619644712e-01,3.332937954755684773e-01,1.123482277980979882e+00
4.554241637999999739e+02,3.139998296655178156e-01,3.329484992169952084e-01,1.124045927200975292e+00
