wavelength_nm,R30,R45,R60
4.532503661999999736e+02,3.021681011234237380e-01,3.399253694650197777e-01,1.035790652387213129e+00
4.533647460999999907e+02,3.160139787621999430e-01,3.235143016690533724e-01,1.075075409774496560e+00
4.534791260000000079e+02,3.229124953834937584e-01,3.143820556255610965e-01,1.063954188317350669e+00
4.535935059000000251e+02,2.846255835879664686e-01,3.456975872765981617e-01,1.177452609381168580e+00
4.537078857000000198e+02,3.053863472136479351e-01,2.920106831014876447e-01,1.130088923341700857e+00
4.538222655999999802e+02,2.971490532979745858e-01,2.924054539978347411e-01,1.068259398226943047e+00
4.539366759999999772e+02,3.154704562143041957e-01,3.047880351995393422e-01,1.180025566368477108e+00
4.540510558999999944e+02,3.172381045530338617e-01,3.640210534154413868e-01,1.162859532596665968e+00
4.541654662999999914e+02,3.218502773837413344e-01,3.337965969163388946e-01,1.028344464504100664e+00
4.542798766999999884e+02,3.173911416954645071e-01,3.333882315459748558e-01,1.221561764512310910e+00
4.543942870999999855e+02,3.110798976258121185e-01,3.430360428506082915e-01,1.116633322635985692e+00
4.545086974999999825e+02,3.112013848539341154e-01,3.267560190252007390e-01,1.140388233654310080e+00
4.546231078999999795e+02,3.180006878514888835e-01,3.515795736710166097e-01,1.077628013472801127e+00
4.547375488000000132e+02,2.935891062655068273e-01,3.243640676790875976e-01,1.058759472754297049e+00
4.548519592000000102e+02,3.101755751463963762e-01,3.563344257456960151e-01,1.207340942771148784e+00
4.549664000999999871e+02,3.343705004789153667e-01,3.242318256898160667e-01,1.173323733897803756e+00
4.550808410999999865e+02,3.029849998087217888e-01,3.177912941722764728e-01,1.145788793304002962e+00
4.551952820000000202e+02,3.251161314944784886e-01,3.491576228254616443e-01,1.062184774569091106e+00
4.553097228999999970e+02,3.185954631436136997e-01,3.280081878032574672e-01,1.113973781146616604e+00
4.554241637999999739e+02,2.959261036713117243e-01,3.129937947468232062e-01,1.133544076996797489e+00
4.555386047000000076e+02,3.117335771949601986e-01,3.410441966941957226e-01,1.233170791726228011e+00
4.556530761999999868e+02,3.215265322655054825e-01,3.382259770027047363e-01,1.265521762614458146e+00
4.557675476000000003e+02,3.042270779979225348e-01,3.052587410424733583e-01,1.141869897574262271e+00
4.558820190000000139e+02,3.289018295459119612e-01,3.495380969530225146e-01,1.319155749891075757e+00
4.559964904999999931e+02,3.143771427442720867e-01,3.223948400705672901e-01,1.097720369743701463e+00
4.561109619000000066e+02,3.025530538882261755e-01,3.289860118053278826e-01,1.249899035975872819e+00
4.562254333000000202e+02,3.292292091571785706e-01,4.008927664726347762e-01,1.084280133713297012e+00
4.563399047999999993e+02,3.021804197304236439e-01,3.452120930405310206e-01,1.175989921783438641e+00
4.564544066999999927e+02,2.744148470472673185e-01,3.213839503161014521e-01,1.129876208954678107e+00
4.565689087000000086e+02,3.056753799859622256e-01,3.531844912127204417e-01,1.100036478211936952e+00
4.566833801000000221e+02,3.305957504686502513e-01,3.361114084953727987e-01,9.976232605469451675e-01
4.567978820999999812e+02,3.170567128486815878e-01,3.261690381323201215e-01,1.161038399233133234e+00
4.569123839999999745e+02,2.911926801340217752e-01,3.263055833743207512e-01,1.089873826461295714e+00
4.570269165000000271e+02,3.268251983790363413e-01,3.011866476208707732e-01,1.084059234733251165e+00
4.571414184999999861e+02,3.241275019754039644e-01,3.460056652686845924e-01,1.038602735544702282e+00
4.572559509000000162e+02,2.950927757549615116e-01,3.271646407520233946e-01,1.011193817156942565e+00
4.573704528999999752e+02,3.147600381937414871e-01,3.550798546716191217e-01,1.193167821006763329e+00
4.574849854000000278e+02,3.247056502824927082e-01,3.691785423181538905e-01,1.263643677032885160e+00
4.575995178000000010e+02,3.183692910187002623e-01,3.417531442382348850e-01,1.120142316368539559e+00
4.577140502999999967e+02,3.363950513527895203e-01,3.302703863348300795e-01,1.092922040605723177e+00
4.578285827999999924e+02,3.218837081165680791e-01,3.386195571304626561e-01,1.221536521549334786e+00
4.579431458000000248e+02,3.017654260145720690e-01,3.446522442076249138e-01,1.215386941102348128e+00
4.580576781999999980e+02,3.274413940951824142e-01,3.588415590470968586e-01,1.163715983849612279e+00
4.581722411999999736e+02,3.345403084374452551e-01,3.027380794066522607e-01,1.149714564105850600e+00
4.582868042000000059e+02,3.059896049020539022e-01,3.267886727334797792e-01,1.111530458536373889e+00
4.584013671999999815e+02,3.399900951297305518e-01,3.447158139289863699e-01,1.123346327108124987e+00
4.585159302000000139e+02,3.279062158462173748e-01,3.388932861062616819e-01,9.688475444085981048e-01
4.586304931999999894e+02,3.393097862673441489e-01,3.001448475847967035e-01,1.115984922827126136e+00
4.587450562000000218e+02,3.173235827915326102e-01,3.380761128665616955e-01,1.198176091736065985e+00
4.588596496999999772e+02,3.211582415508719146e-01,3.486874127859496686e-01,1.172748878341945966e+00
4.589742125999999871e+02,3.252239582181003508e-01,3.423661448802548524e-01,1.125734423292714670e+00
4.590888062000000218e+02,3.175822770624673330e-01,3.369301326611700564e-01,1.182682362624613237e+00
4.592033996999999772e+02,3.305707663766144777e-01,3.385245860839227183e-01,1.196153093154306069e+00
4.593179931999999894e+02,3.079178205526598155e-01,3.420012083498112365e-01,1.182696662975834423e+00
4.594325867000000017e+02,3.013321522804704999e-01,3.639583059273873156e-01,1.094368561785674876e+00
