wavelength_nm,n,k,cost,R30,R45,R60
442.2913818,0.4462501714018471,0.16075331034823517,0.06779579982321632,0.350858228851574,0.3100146330106302,1.0341562087300726
442.405304,0.4471860783330386,0.1422363229271185,0.051321074570494125,0.3488536635985846,0.37651941930380634,0.9939470713338479
442.5192566,0.4621335622028165,0.15193074745929705,0.06819692582904804,0.33101067315343113,0.30350183022222094,1.0668576209791187
442.6332092,0.4941834937852524,0.1293855963743125,0.06328067571636539,0.2899059044536623,0.3141330616274693,1.0481945718832413
442.7471619,0.4781493434879449,0.12735070055180486,0.05432001261499477,0.30685694369107275,0.3599815755567159,1.2265703166271325
442.8611145,0.45608818825226977,0.1476359576051968,0.06173387741158829,0.33749680265999127,0.3327663999980134,1.2119149457208036
442.9750977,0.4704293215880259,0.1320148632298973,0.05508331788721545,0.317579161717541,0.35874924508976,1.0267302244206322
443.0890503,0.47344288571551263,0.141098599386737,0.06415592997011692,0.31560180407159,0.31689140805471955,1.1492547631957055
443.2030334,0.4716443050838726,0.13377954551930513,0.057036968419469425,0.31617756409968933,0.3491800726648747,1.0369650212900032
443.3170166,0.4644589021147119,0.14621177282090034,0.06437475317007736,0.3270844971083125,0.31875720303181104,1.1837774859809775
443.4309998,0.46303527557893176,0.15029432094112521,0.06721768445396682,0.3296120652983622,0.30725371114191213,1.0948019587214233
443.5449829,0.4813842204690558,0.12522312542876293,0.05382087520435715,0.3023263697920093,0.3613664649531206,1.0913096634970356
443.6589661,0.47142225394481974,0.14174299576649246,0.06376962712299507,0.31804017979326166,0.3191796293536984,1.2524070258752455
443.7729797,0.4679138144518981,0.143410208456077,0.06358080448094658,0.32246768825718575,0.32108673144525113,1.080926119332952
443.8869934,0.4726117522662954,0.13048884113288306,0.05470786431694702,0.3145305888285919,0.35986036973759805,1.2666509769744523
444.0009766,0.4607916255187322,0.13935252923666588,0.05708825074310347,0.33091310894461234,0.3523007618765513,1.0458715851519291
444.1149902,0.4367870474594033,0.1526211288726416,0.057373289587732815,0.36332919194131696,0.35814434354591007,1.247262893369524
444.2290039,0.4688620551081905,0.135076765210244,0.056955597542440325,0.31993153740539226,0.3504259811310903,1.1559887172811307
444.3430176,0.46583172488130814,0.14008349904873252,0.05981579133670066,0.324398118706878,0.33829111360207464,1.1255226615008749
444.4570618,0.48556186801117784,0.13162525883784829,0.06127495919921676,0.29931764495188606,0.32559833856229986,1.1265937161177955
444.5710754,0.48873582472230837,0.1306396569762665,0.061847104928682325,0.29566046817018105,0.32207827199345057,1.141492743463284
444.6851196,0.44416009937432915,0.15315892734028363,0.06085381251804854,0.35315275757847026,0.34024656717927926,1.1301568977617928
